﻿key_resp.keys,key_resp.rt,trial_para,tar_shape,dis_color_condi,tar_line,cor_resp,dis_loc,tar_loc,resp.keys,resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,resp.rt,block_num,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,"[""diamond"",""green"",""hori"",""left"",[0,-150],[-106,-106]]",diamond,green,hori,left,"[0,-150]","[-106,-106]",left,1,,,,,,001,2025-03-10_17h18.12.379,SL_base_41,2021.2.3,Win32,60.24096386,,,69,0,69,0,1,1.6763,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[0,-150]]",diamond,no_dis,vert,up,"[99999,99999]","[0,-150]",up,1,,,,,,001,2025-03-10_17h18.12.379,SL_base_41,2021.2.3,Win32,60.24096386,,,70,0,70,0,1,1.4169,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[0,-150]]",diamond,no_dis,vert,up,"[99999,99999]","[0,-150]",up,1,,,,,,001,2025-03-10_17h18.12.379,SL_base_41,2021.2.3,Win32,60.24096386,,,71,0,71,0,1,0.765,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[-106,-106]]",circle,no_dis,vert,up,"[99999,99999]","[-106,-106]",left,0,,,,,,001,2025-03-10_17h18.12.379,SL_base_41,2021.2.3,Win32,60.24096386,,,72,0,72,0,1,1.8861,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[106,-106]]",circle,no_dis,vert,up,"[99999,99999]","[106,-106]",up,1,,,,,,001,2025-03-10_17h18.12.379,SL_base_41,2021.2.3,Win32,60.24096386,,,73,0,73,0,1,1.7339,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[150,0]]",circle,no_dis,hori,left,"[99999,99999]","[150,0]",left,1,,,,,,001,2025-03-10_17h18.12.379,SL_base_41,2021.2.3,Win32,60.24096386,,,74,0,74,0,1,1.8668,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-106,106],[0,-150]]",diamond,red,vert,up,"[-106,106]","[0,-150]",up,1,,,,,,001,2025-03-10_17h18.12.379,SL_base_41,2021.2.3,Win32,60.24096386,,,75,0,75,0,1,1.3549,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[0,150]]",diamond,no_dis,vert,up,"[99999,99999]","[0,150]",up,1,,,,,,001,2025-03-10_17h18.12.379,SL_base_41,2021.2.3,Win32,60.24096386,,,76,0,76,0,1,1.2048,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[106,106],[-106,106]]",circle,green,vert,up,"[106,106]","[-106,106]",up,1,,,,,,001,2025-03-10_17h18.12.379,SL_base_41,2021.2.3,Win32,60.24096386,,,77,0,77,0,1,1.1237,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[-150,0],[106,-106]]",circle,green,hori,left,"[-150,0]","[106,-106]",left,1,,,,,,001,2025-03-10_17h18.12.379,SL_base_41,2021.2.3,Win32,60.24096386,,,78,0,78,0,1,1.3336,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[-106,106],[0,150]]",circle,green,hori,left,"[-106,106]","[0,150]",left,1,,,,,,001,2025-03-10_17h18.12.379,SL_base_41,2021.2.3,Win32,60.24096386,,,79,0,79,0,1,1.018,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[-106,106],[0,-150]]",circle,green,hori,left,"[-106,106]","[0,-150]",up,0,,,,,,001,2025-03-10_17h18.12.379,SL_base_41,2021.2.3,Win32,60.24096386,,,80,0,80,0,1,1.1104,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-106,-106],[0,-150]]",diamond,red,vert,up,"[-106,-106]","[0,-150]",up,1,,,,,,001,2025-03-10_17h18.12.379,SL_base_41,2021.2.3,Win32,60.24096386,,,81,0,81,0,1,2.0854,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[0,-150],[-150,0]]",circle,green,vert,up,"[0,-150]","[-150,0]",left,0,,,,,,001,2025-03-10_17h18.12.379,SL_base_41,2021.2.3,Win32,60.24096386,,,82,0,82,0,1,1.9851,,,,,,,,
